year,id,imdb_id,title,rating
1888,8040,392728.0,Roundhay Garden Scene,0
1892,5433,3.0,Pauvre Pierrot,0
1895,6200,132134.0,"The Execution of Mary, Queen of Scots",0
1895,5444,14.0,Tables Turned on the Gardener,0
1896,5406,131.0,Une nuit terrible,0
1896,5445,223341.0,La fee aux choux,0
1896,6199,12.0,The Arrival of a Train,0
1896,4982,91.0,The House of the Devil,0
1897,9328,41.0,Bataille de neige,0
1898,4978,135696.0,Four Heads Are Better Than One,0
1898,5411,224240.0,The Temptation of St. Anthony,0
1898,5410,211.0,The The Astronomer&#39;s Dream; or Man in the Moon,0
1899,5914,230.0,Cinderella,3
1899,4994,246.0,A Turn of the Century Illusionist,0
1900,5438,313.0,Let Me Dream Again,0
1900,4346,306.0,Hamlet ( Le Duel d’Hamlet),0
1900,1594,291476.0,Sherlock Holmes Baffled,0
1900,4993,135453.0,The One-Man Band,0
1900,5069,377995.0,Grandma Threading Her Needle,0
1900,4271,300.0,The Enchanted Drawing,0
1900,5072,230746.0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0
1900,4345,257654.0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0
1900,4344,272.0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0
1900,5446,227438.0,The Doctor and the Monkey,0
1900,4343,304.0,Grandma’s Reading Glass,0
1901,5437,258104.0,Reve et realite,0
1901,4995,359.0,L’homme a la tete en caoutchouc,0
1901,5500,131934.0,Bluebeard,0
1902,1252,417.0,Le voyage dans la lune,0
1902,5443,413.0,Mephistopheles’ School of Magic,0
1902,5432,367177.0,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0
1902,5431,229024.0,Gulliver’s Travels,0
1903,1319,439.0,The Great Train Robbery,0
1903,5064,223755.0,The Monster,0
1903,5683,189498.0,The Enchanted Well,0
1903,5063,455.0,The Music Lover,0
1903,5002,135180.0,The Infernal Boiling Pot,0
1904,5601,135631.0,The Untamable Whiskers,0
1904,5224,215664.0,The Cook in Trouble,0
1904,5404,135179.0,The Living Playing Cards,0
1904,6135,499.0,Le voyage a travers l’impossible,0
1905,5003,135690.0,The Scheming Gambler's Paradise,0
1905,5602,215575.0,The Black Imp,0
1906,1349,574.0,The Story of the Kelly Gang,1
